source,target,weight,timestamp,year_month,source_tech,target_tech
23,25,0.2,2025-02-01,2025-02,JavaScript,Go
30,33,0.18,2025-02-01,2025-02,Go,C++
41,37,0.24,2025-02-01,2025-02,C++,Go
2,13,0.19,2025-02-01,2025-02,TypeScript,Java
11,39,0.22,2025-02-01,2025-02,TypeScript,Python
15,8,0.2,2025-02-01,2025-02,Rust,Go
42,5,0.31,2025-02-01,2025-02,TypeScript,Go
32,26,0.19,2025-02-01,2025-02,TypeScript,C++
12,34,0.26,2025-02-01,2025-02,Python,TypeScript
28,30,0.36,2025-02-01,2025-02,Java,Go
11,50,0.17,2025-02-01,2025-02,TypeScript,JavaScript
39,29,0.22,2025-02-01,2025-02,Python,TypeScript
35,15,0.39,2025-02-01,2025-02,Python,Rust
31,47,0.16,2025-02-01,2025-02,Python,TypeScript
12,14,1.03,2025-02-01,2025-02,Python,Python
1,28,0.23,2025-02-01,2025-02,C++,Java
40,7,0.24,2025-02-01,2025-02,Rust,Java
44,9,0.23,2025-02-01,2025-02,C++,TypeScript
20,5,1.43,2025-02-01,2025-02,Go,Go
12,8,0.32,2025-02-01,2025-02,Python,Go
24,13,0.35,2025-02-01,2025-02,Rust,Java
35,30,0.38,2025-02-01,2025-02,Python,Go
26,29,0.44,2025-02-01,2025-02,C++,TypeScript
13,15,0.35,2025-02-01,2025-02,Java,Rust
27,49,0.29,2025-02-01,2025-02,JavaScript,C++
12,8,0.37,2025-02-01,2025-02,Python,Go
33,1,1.12,2025-02-01,2025-02,C++,C++
13,36,0.37,2025-02-01,2025-02,Java,Python
30,2,0.37,2025-02-01,2025-02,Go,TypeScript
8,36,0.35,2025-02-01,2025-02,Go,Python
17,5,0.24,2025-02-01,2025-02,Java,Go
45,28,0.21,2025-02-01,2025-02,C++,Java
41,4,0.39,2025-02-01,2025-02,C++,JavaScript
7,40,0.21,2025-02-01,2025-02,Java,Rust
20,3,0.4,2025-02-01,2025-02,Go,JavaScript
40,35,0.35,2025-02-01,2025-02,Rust,Python
46,26,0.41,2025-02-01,2025-02,Python,C++
24,26,0.45,2025-02-01,2025-02,Rust,C++
50,18,0.16,2025-02-01,2025-02,JavaScript,Go
21,44,0.2,2025-02-01,2025-02,Java,C++
28,3,0.27,2025-02-01,2025-02,Java,JavaScript
43,8,0.18,2025-02-01,2025-02,JavaScript,Go
2,22,0.15,2025-02-01,2025-02,TypeScript,Go
6,8,0.2,2025-02-01,2025-02,Java,Go
45,23,0.16,2025-02-01,2025-02,C++,JavaScript
3,41,0.44,2025-02-01,2025-02,JavaScript,C++
39,5,0.22,2025-02-01,2025-02,Python,Go
39,17,0.33,2025-02-01,2025-02,Python,Java
35,15,0.3,2025-02-01,2025-02,Python,Rust
22,14,0.45,2025-02-01,2025-02,Go,Python
47,13,0.15,2025-02-01,2025-02,TypeScript,Java
10,48,0.29,2025-02-01,2025-02,JavaScript,C++
39,23,0.18,2025-02-01,2025-02,Python,JavaScript
16,33,0.2,2025-02-01,2025-02,TypeScript,C++
18,17,0.24,2025-02-01,2025-02,Go,Java
7,47,0.37,2025-02-01,2025-02,Java,TypeScript
40,31,0.37,2025-02-01,2025-02,Rust,Python
2,24,0.35,2025-02-01,2025-02,TypeScript,Rust
26,47,0.44,2025-02-01,2025-02,C++,TypeScript
2,23,0.28,2025-02-01,2025-02,TypeScript,JavaScript
32,27,0.3,2025-02-01,2025-02,TypeScript,JavaScript
5,6,0.33,2025-02-01,2025-02,Go,Java
30,36,0.33,2025-02-01,2025-02,Go,Python
26,19,0.41,2025-02-01,2025-02,C++,Go
30,11,0.37,2025-02-01,2025-02,Go,TypeScript
11,43,0.18,2025-02-01,2025-02,TypeScript,JavaScript
30,32,0.44,2025-02-01,2025-02,Go,TypeScript
14,4,0.38,2025-02-01,2025-02,Python,JavaScript
2,14,0.33,2025-02-01,2025-02,TypeScript,Python
43,23,0.93,2025-02-01,2025-02,JavaScript,JavaScript
18,25,1.15,2025-02-01,2025-02,Go,Go
17,29,0.4,2025-02-01,2025-02,Java,TypeScript
26,24,0.36,2025-02-01,2025-02,C++,Rust
5,32,0.4,2025-02-01,2025-02,Go,TypeScript
48,14,0.38,2025-02-01,2025-02,C++,Python
27,36,0.37,2025-02-01,2025-02,JavaScript,Python
28,37,0.24,2025-02-01,2025-02,Java,Go
45,16,0.21,2025-02-01,2025-02,C++,TypeScript
48,36,0.39,2025-02-01,2025-02,C++,Python
45,11,0.41,2025-02-01,2025-02,C++,TypeScript
2,38,0.17,2025-02-01,2025-02,TypeScript,Go
41,13,0.27,2025-02-01,2025-02,C++,Java
10,8,0.28,2025-02-01,2025-02,JavaScript,Go
41,47,0.26,2025-02-01,2025-02,C++,TypeScript
32,5,0.16,2025-02-01,2025-02,TypeScript,Go
22,16,0.28,2025-03-01,2025-03,Go,TypeScript
1,8,0.31,2025-03-01,2025-03,C++,Go
39,17,0.37,2025-03-01,2025-03,Python,Java
36,48,0.28,2025-03-01,2025-03,Python,C++
18,25,0.96,2025-03-01,2025-03,Go,Go
8,9,0.45,2025-03-01,2025-03,Go,TypeScript
4,38,0.16,2025-03-01,2025-03,JavaScript,Go
14,17,0.33,2025-03-01,2025-03,Python,Java
16,37,0.26,2025-03-01,2025-03,TypeScript,Go
43,17,0.16,2025-03-01,2025-03,JavaScript,Java
4,35,0.41,2025-03-01,2025-03,JavaScript,Python
1,2,0.41,2025-03-01,2025-03,C++,TypeScript
5,30,0.93,2025-03-01,2025-03,Go,Go
19,30,0.77,2025-03-01,2025-03,Go,Go
15,18,0.43,2025-03-01,2025-03,Rust,Go
16,29,1.02,2025-03-01,2025-03,TypeScript,TypeScript
5,14,0.29,2025-03-01,2025-03,Go,Python
26,8,0.34,2025-03-01,2025-03,C++,Go
32,22,0.29,2025-03-01,2025-03,TypeScript,Go
14,8,0.16,2025-03-01,2025-03,Python,Go
7,1,0.16,2025-03-01,2025-03,Java,C++
40,31,0.21,2025-03-01,2025-03,Rust,Python
34,32,1.49,2025-03-01,2025-03,TypeScript,TypeScript
21,33,0.38,2025-03-01,2025-03,Java,C++
19,4,0.27,2025-03-01,2025-03,Go,JavaScript
12,13,0.42,2025-03-01,2025-03,Python,Java
11,37,0.17,2025-03-01,2025-03,TypeScript,Go
5,49,0.17,2025-03-01,2025-03,Go,C++
18,21,0.41,2025-03-01,2025-03,Go,Java
8,3,0.28,2025-03-01,2025-03,Go,JavaScript
29,46,0.16,2025-03-01,2025-03,TypeScript,Python
33,15,0.37,2025-03-01,2025-03,C++,Rust
46,29,0.21,2025-03-01,2025-03,Python,TypeScript
25,50,0.16,2025-03-01,2025-03,Go,JavaScript
49,47,0.39,2025-03-01,2025-03,C++,TypeScript
8,26,0.38,2025-03-01,2025-03,Go,C++
6,12,0.17,2025-03-01,2025-03,Java,Python
4,49,0.37,2025-03-01,2025-03,JavaScript,C++
19,23,0.28,2025-03-01,2025-03,Go,JavaScript
32,50,0.29,2025-03-01,2025-03,TypeScript,JavaScript
49,26,0.75,2025-03-01,2025-03,C++,C++
16,4,0.26,2025-03-01,2025-03,TypeScript,JavaScript
21,41,0.27,2025-03-01,2025-03,Java,C++
19,11,0.19,2025-03-01,2025-03,Go,TypeScript
30,15,0.34,2025-03-01,2025-03,Go,Rust
5,26,0.22,2025-03-01,2025-03,Go,C++
3,34,0.25,2025-03-01,2025-03,JavaScript,TypeScript
25,3,0.31,2025-03-01,2025-03,Go,JavaScript
18,4,0.24,2025-03-01,2025-03,Go,JavaScript
9,16,1.41,2025-03-01,2025-03,TypeScript,TypeScript
16,15,0.4,2025-03-01,2025-03,TypeScript,Rust
17,10,0.23,2025-03-01,2025-03,Java,JavaScript
36,28,0.38,2025-03-01,2025-03,Python,Java
46,38,0.29,2025-03-01,2025-03,Python,Go
3,50,1.23,2025-03-01,2025-03,JavaScript,JavaScript
30,16,0.2,2025-03-01,2025-03,Go,TypeScript
32,24,0.27,2025-03-01,2025-03,TypeScript,Rust
38,43,0.35,2025-03-01,2025-03,Go,JavaScript
45,10,0.33,2025-03-01,2025-03,C++,JavaScript
4,2,0.34,2025-03-01,2025-03,JavaScript,TypeScript
19,38,1.03,2025-03-01,2025-03,Go,Go
35,32,0.39,2025-03-01,2025-03,Python,TypeScript
25,47,0.32,2025-03-01,2025-03,Go,TypeScript
39,28,0.19,2025-03-01,2025-03,Python,Java
27,18,0.45,2025-03-01,2025-03,JavaScript,Go
4,10,1.29,2025-03-01,2025-03,JavaScript,JavaScript
1,34,0.28,2025-03-01,2025-03,C++,TypeScript
16,50,0.39,2025-03-01,2025-03,TypeScript,JavaScript
49,10,0.18,2025-03-01,2025-03,C++,JavaScript
10,41,0.15,2025-03-01,2025-03,JavaScript,C++
32,40,0.32,2025-03-01,2025-03,TypeScript,Rust
10,47,0.23,2025-03-01,2025-03,JavaScript,TypeScript
48,34,0.35,2025-03-01,2025-03,C++,TypeScript
28,14,0.41,2025-03-01,2025-03,Java,Python
10,17,0.23,2025-03-01,2025-03,JavaScript,Java
22,33,0.37,2025-03-01,2025-03,Go,C++
42,28,0.45,2025-03-01,2025-03,TypeScript,Java
47,27,0.32,2025-03-01,2025-03,TypeScript,JavaScript
22,47,0.45,2025-03-01,2025-03,Go,TypeScript
38,3,0.26,2025-03-01,2025-03,Go,JavaScript
42,43,0.19,2025-03-01,2025-03,TypeScript,JavaScript
26,30,0.31,2025-03-01,2025-03,C++,Go
46,31,0.99,2025-03-01,2025-03,Python,Python
6,46,0.41,2025-03-01,2025-03,Java,Python
22,29,0.28,2025-03-01,2025-03,Go,TypeScript
1,13,0.34,2025-03-01,2025-03,C++,Java
9,26,0.39,2025-03-01,2025-03,TypeScript,C++
41,29,0.36,2025-03-01,2025-03,C++,TypeScript
19,41,0.27,2025-03-01,2025-03,Go,C++
2,43,0.18,2025-03-01,2025-03,TypeScript,JavaScript
21,25,0.3,2025-03-01,2025-03,Java,Go
4,30,0.4,2025-03-01,2025-03,JavaScript,Go
22,17,0.22,2025-03-01,2025-03,Go,Java
31,47,0.23,2025-04-01,2025-04,Python,TypeScript
33,40,0.18,2025-04-01,2025-04,C++,Rust
41,24,0.21,2025-04-01,2025-04,C++,Rust
23,37,0.43,2025-04-01,2025-04,JavaScript,Go
47,35,0.43,2025-04-01,2025-04,TypeScript,Python
2,20,0.44,2025-04-01,2025-04,TypeScript,Go
35,30,0.2,2025-04-01,2025-04,Python,Go
3,43,0.88,2025-04-01,2025-04,JavaScript,JavaScript
30,10,0.33,2025-04-01,2025-04,Go,JavaScript
30,25,0.99,2025-04-01,2025-04,Go,Go
26,42,0.39,2025-04-01,2025-04,C++,TypeScript
17,42,0.37,2025-04-01,2025-04,Java,TypeScript
50,40,0.41,2025-04-01,2025-04,JavaScript,Rust
4,44,0.22,2025-04-01,2025-04,JavaScript,C++
26,38,0.32,2025-04-01,2025-04,C++,Go
17,11,0.24,2025-04-01,2025-04,Java,TypeScript
43,42,0.36,2025-04-01,2025-04,JavaScript,TypeScript
50,38,0.39,2025-04-01,2025-04,JavaScript,Go
19,26,0.36,2025-04-01,2025-04,Go,C++
38,43,0.33,2025-04-01,2025-04,Go,JavaScript
41,42,0.45,2025-04-01,2025-04,C++,TypeScript
47,11,1.45,2025-04-01,2025-04,TypeScript,TypeScript
19,1,0.31,2025-04-01,2025-04,Go,C++
21,36,0.32,2025-04-01,2025-04,Java,Python
44,1,0.81,2025-04-01,2025-04,C++,C++
3,4,0.86,2025-04-01,2025-04,JavaScript,JavaScript
40,9,0.2,2025-04-01,2025-04,Rust,TypeScript
11,24,0.37,2025-04-01,2025-04,TypeScript,Rust
46,34,0.17,2025-04-01,2025-04,Python,TypeScript
17,9,0.17,2025-04-01,2025-04,Java,TypeScript
26,38,0.44,2025-04-01,2025-04,C++,Go
16,37,0.37,2025-04-01,2025-04,TypeScript,Go
7,47,0.33,2025-04-01,2025-04,Java,TypeScript
42,17,0.41,2025-04-01,2025-04,TypeScript,Java
48,16,0.32,2025-04-01,2025-04,C++,TypeScript
50,33,0.3,2025-04-01,2025-04,JavaScript,C++
31,41,0.43,2025-04-01,2025-04,Python,C++
38,48,0.43,2025-04-01,2025-04,Go,C++
9,29,0.61,2025-04-01,2025-04,TypeScript,TypeScript
39,30,0.29,2025-04-01,2025-04,Python,Go
42,24,0.27,2025-04-01,2025-04,TypeScript,Rust
9,2,0.97,2025-04-01,2025-04,TypeScript,TypeScript
30,11,0.41,2025-04-01,2025-04,Go,TypeScript
30,7,0.18,2025-04-01,2025-04,Go,Java
47,14,0.26,2025-04-01,2025-04,TypeScript,Python
30,37,1.49,2025-04-01,2025-04,Go,Go
45,12,0.18,2025-04-01,2025-04,C++,Python
36,26,0.23,2025-04-01,2025-04,Python,C++
28,6,1.25,2025-04-01,2025-04,Java,Java
42,18,0.39,2025-04-01,2025-04,TypeScript,Go
21,46,0.23,2025-04-01,2025-04,Java,Python
32,40,0.29,2025-04-01,2025-04,TypeScript,Rust
27,5,0.19,2025-04-01,2025-04,JavaScript,Go
1,23,0.42,2025-04-01,2025-04,C++,JavaScript
39,2,0.44,2025-04-01,2025-04,Python,TypeScript
27,23,1.31,2025-04-01,2025-04,JavaScript,JavaScript
41,40,0.29,2025-04-01,2025-04,C++,Rust
29,10,0.34,2025-04-01,2025-04,TypeScript,JavaScript
18,27,0.23,2025-04-01,2025-04,Go,JavaScript
26,13,0.32,2025-04-01,2025-04,C++,Java
20,16,0.16,2025-04-01,2025-04,Go,TypeScript
12,31,0.71,2025-04-01,2025-04,Python,Python
7,3,0.32,2025-04-01,2025-04,Java,JavaScript
9,50,0.3,2025-04-01,2025-04,TypeScript,JavaScript
35,50,0.38,2025-04-01,2025-04,Python,JavaScript
49,2,0.2,2025-04-01,2025-04,C++,TypeScript
44,47,0.42,2025-04-01,2025-04,C++,TypeScript
45,49,0.67,2025-04-01,2025-04,C++,C++
35,7,0.31,2025-04-01,2025-04,Python,Java
22,34,0.17,2025-04-01,2025-04,Go,TypeScript
36,46,0.71,2025-04-01,2025-04,Python,Python
19,31,0.21,2025-04-01,2025-04,Go,Python
24,34,0.4,2025-04-01,2025-04,Rust,TypeScript
25,49,0.39,2025-04-01,2025-04,Go,C++
12,36,1.06,2025-04-01,2025-04,Python,Python
24,15,0.87,2025-04-01,2025-04,Rust,Rust
24,3,0.17,2025-04-01,2025-04,Rust,JavaScript
17,25,0.37,2025-04-01,2025-04,Java,Go
35,27,0.43,2025-04-01,2025-04,Python,JavaScript
27,35,0.23,2025-04-01,2025-04,JavaScript,Python
22,16,0.35,2025-04-01,2025-04,Go,TypeScript
6,27,0.42,2025-04-01,2025-04,Java,JavaScript
7,9,0.44,2025-04-01,2025-04,Java,TypeScript
46,44,0.37,2025-04-01,2025-04,Python,C++
38,41,0.17,2025-04-01,2025-04,Go,C++
7,2,0.34,2025-05-01,2025-05,Java,TypeScript
39,11,0.18,2025-05-01,2025-05,Python,TypeScript
46,31,0.53,2025-05-01,2025-05,Python,Python
18,30,0.75,2025-05-01,2025-05,Go,Go
35,21,0.42,2025-05-01,2025-05,Python,Java
19,14,0.34,2025-05-01,2025-05,Go,Python
34,39,0.36,2025-05-01,2025-05,TypeScript,Python
46,10,0.26,2025-05-01,2025-05,Python,JavaScript
5,15,0.36,2025-05-01,2025-05,Go,Rust
12,8,0.31,2025-05-01,2025-05,Python,Go
20,36,0.3,2025-05-01,2025-05,Go,Python
26,8,0.33,2025-05-01,2025-05,C++,Go
43,36,0.31,2025-05-01,2025-05,JavaScript,Python
22,37,1.3,2025-05-01,2025-05,Go,Go
41,37,0.23,2025-05-01,2025-05,C++,Go
16,29,1.14,2025-05-01,2025-05,TypeScript,TypeScript
3,23,1.43,2025-05-01,2025-05,JavaScript,JavaScript
6,33,0.31,2025-05-01,2025-05,Java,C++
4,44,0.19,2025-05-01,2025-05,JavaScript,C++
22,34,0.28,2025-05-01,2025-05,Go,TypeScript
31,17,0.4,2025-05-01,2025-05,Python,Java
10,18,0.22,2025-05-01,2025-05,JavaScript,Go
41,12,0.43,2025-05-01,2025-05,C++,Python
45,24,0.36,2025-05-01,2025-05,C++,Rust
15,36,0.42,2025-05-01,2025-05,Rust,Python
3,11,0.17,2025-05-01,2025-05,JavaScript,TypeScript
45,16,0.39,2025-05-01,2025-05,C++,TypeScript
1,25,0.17,2025-05-01,2025-05,C++,Go
25,24,0.26,2025-05-01,2025-05,Go,Rust
10,26,0.19,2025-05-01,2025-05,JavaScript,C++
47,40,0.43,2025-05-01,2025-05,TypeScript,Rust
6,4,0.19,2025-05-01,2025-05,Java,JavaScript
11,20,0.25,2025-05-01,2025-05,TypeScript,Go
33,41,0.58,2025-05-01,2025-05,C++,C++
14,16,0.38,2025-05-01,2025-05,Python,TypeScript
45,36,0.41,2025-05-01,2025-05,C++,Python
27,16,0.45,2025-05-01,2025-05,JavaScript,TypeScript
21,2,0.27,2025-05-01,2025-05,Java,TypeScript
46,40,0.29,2025-05-01,2025-05,Python,Rust
1,32,0.23,2025-05-01,2025-05,C++,TypeScript
14,48,0.31,2025-05-01,2025-05,Python,C++
18,34,0.38,2025-05-01,2025-05,Go,TypeScript
33,32,0.24,2025-05-01,2025-05,C++,TypeScript
41,7,0.24,2025-05-01,2025-05,C++,Java
41,48,0.95,2025-05-01,2025-05,C++,C++
44,35,0.4,2025-05-01,2025-05,C++,Python
39,24,0.42,2025-05-01,2025-05,Python,Rust
42,25,0.44,2025-05-01,2025-05,TypeScript,Go
46,49,0.23,2025-05-01,2025-05,Python,C++
18,11,0.22,2025-05-01,2025-05,Go,TypeScript
37,43,0.36,2025-05-01,2025-05,Go,JavaScript
32,31,0.23,2025-05-01,2025-05,TypeScript,Python
44,35,0.45,2025-05-01,2025-05,C++,Python
43,20,0.28,2025-05-01,2025-05,JavaScript,Go
16,22,0.38,2025-05-01,2025-05,TypeScript,Go
35,44,0.38,2025-05-01,2025-05,Python,C++
26,39,0.16,2025-05-01,2025-05,C++,Python
10,38,0.27,2025-05-01,2025-05,JavaScript,Go
26,42,0.26,2025-05-01,2025-05,C++,TypeScript
8,41,0.25,2025-05-01,2025-05,Go,C++
48,21,0.27,2025-05-01,2025-05,C++,Java
20,27,0.33,2025-05-01,2025-05,Go,JavaScript
35,49,0.41,2025-05-01,2025-05,Python,C++
37,43,0.21,2025-05-01,2025-05,Go,JavaScript
41,28,0.37,2025-05-01,2025-05,C++,Java
42,5,0.39,2025-05-01,2025-05,TypeScript,Go
48,18,0.21,2025-05-01,2025-05,C++,Go
43,5,0.37,2025-05-01,2025-05,JavaScript,Go
15,50,0.22,2025-05-01,2025-05,Rust,JavaScript
6,28,1.43,2025-05-01,2025-05,Java,Java
44,20,0.3,2025-05-01,2025-05,C++,Go
21,47,0.26,2025-05-01,2025-05,Java,TypeScript
7,44,0.24,2025-05-01,2025-05,Java,C++
10,14,0.34,2025-05-01,2025-05,JavaScript,Python
19,24,0.17,2025-05-01,2025-05,Go,Rust
35,20,0.3,2025-05-01,2025-05,Python,Go
23,10,0.73,2025-05-01,2025-05,JavaScript,JavaScript
36,22,0.37,2025-05-01,2025-05,Python,Go
16,2,1.21,2025-05-01,2025-05,TypeScript,TypeScript
1,6,0.17,2025-05-01,2025-05,C++,Java
46,20,0.41,2025-05-01,2025-05,Python,Go
1,29,0.39,2025-05-01,2025-05,C++,TypeScript
10,47,0.18,2025-05-01,2025-05,JavaScript,TypeScript
50,20,0.18,2025-05-01,2025-05,JavaScript,Go
41,49,1.24,2025-05-01,2025-05,C++,C++
7,19,0.42,2025-05-01,2025-05,Java,Go
38,17,0.16,2025-05-01,2025-05,Go,Java
49,40,0.33,2025-05-01,2025-05,C++,Rust
32,36,0.19,2025-05-01,2025-05,TypeScript,Python
44,40,0.42,2025-05-01,2025-05,C++,Rust
30,16,0.23,2025-05-01,2025-05,Go,TypeScript
48,50,0.21,2025-05-01,2025-05,C++,JavaScript
41,40,0.37,2025-05-01,2025-05,C++,Rust
32,49,0.17,2025-06-01,2025-06,TypeScript,C++
16,5,0.35,2025-06-01,2025-06,TypeScript,Go
45,16,0.24,2025-06-01,2025-06,C++,TypeScript
36,47,0.26,2025-06-01,2025-06,Python,TypeScript
23,10,1.16,2025-06-01,2025-06,JavaScript,JavaScript
48,29,0.44,2025-06-01,2025-06,C++,TypeScript
9,27,0.16,2025-06-01,2025-06,TypeScript,JavaScript
14,10,0.35,2025-06-01,2025-06,Python,JavaScript
24,32,0.2,2025-06-01,2025-06,Rust,TypeScript
13,30,0.23,2025-06-01,2025-06,Java,Go
27,18,0.4,2025-06-01,2025-06,JavaScript,Go
25,23,0.2,2025-06-01,2025-06,Go,JavaScript
4,3,1.11,2025-06-01,2025-06,JavaScript,JavaScript
37,7,0.23,2025-06-01,2025-06,Go,Java
11,38,0.24,2025-06-01,2025-06,TypeScript,Go
6,4,0.36,2025-06-01,2025-06,Java,JavaScript
49,12,0.34,2025-06-01,2025-06,C++,Python
16,13,0.38,2025-06-01,2025-06,TypeScript,Java
30,41,0.24,2025-06-01,2025-06,Go,C++
15,3,0.21,2025-06-01,2025-06,Rust,JavaScript
5,9,0.2,2025-06-01,2025-06,Go,TypeScript
45,19,0.31,2025-06-01,2025-06,C++,Go
32,9,1.1,2025-06-01,2025-06,TypeScript,TypeScript
35,38,0.17,2025-06-01,2025-06,Python,Go
45,8,0.4,2025-06-01,2025-06,C++,Go
21,20,0.25,2025-06-01,2025-06,Java,Go
29,20,0.35,2025-06-01,2025-06,TypeScript,Go
47,27,0.21,2025-06-01,2025-06,TypeScript,JavaScript
37,10,0.41,2025-06-01,2025-06,Go,JavaScript
26,23,0.33,2025-06-01,2025-06,C++,JavaScript
39,31,0.67,2025-06-01,2025-06,Python,Python
4,39,0.16,2025-06-01,2025-06,JavaScript,Python
49,42,0.35,2025-06-01,2025-06,C++,TypeScript
22,36,0.28,2025-06-01,2025-06,Go,Python
27,49,0.17,2025-06-01,2025-06,JavaScript,C++
9,41,0.22,2025-06-01,2025-06,TypeScript,C++
